function, genetic, random
gsl_sf_expint_E1_scaled , 2.72605e-16 , 2.09426e-16
gsl_sf_expint_E2 , 1.34585e-13 , 1.51039e-16
gsl_sf_expint_E2_scaled , 1.66054e1 , 2.90134e0
gsl_sf_expint_Ei , 0e-65536 , 0e-65536
gsl_sf_expint_Ei_scaled , 0e-65536 , 0e-65536
gsl_sf_expint_En # , 4.40945e-14 , 0e-65536
gsl_sf_expint_En_scaled # , 6.3099e-14 , 0e-65536
gsl_sf_expm1 , 4.81939e-14 , 8.03758e-17
gsl_sf_exp_mult , 5.67393e-14 , 5.3937e-14
gsl_sf_exprel_2 , 3.44345e-11 , 1.09503e-16
gsl_sf_exprel , 4.76266e-14 , 1.05437e-16
gsl_sf_exprel_n # , 3.94626e-16 , 2.37239e-16
gsl_sf_fermi_dirac_0 , 3.34342e-16 , 1.12511e-16
gsl_sf_fermi_dirac_1 , 3.90971e-16 , 6.77467e-17
gsl_sf_fermi_dirac_2 , 3.38754e-16 , 2.08288e-16
gsl_sf_fermi_dirac_3half , 8.14887e-14 , 1.02486e-13
gsl_sf_fermi_dirac_half , 8.53113e-14 , 8.08379e-14
gsl_sf_fermi_dirac_inc_0 , 1e0 , 1.12038e-16
gsl_sf_fermi_dirac_int # , ,
gsl_sf_fermi_dirac_m1 , 1.82711e-16 , 8.85672e-17
gsl_sf_fermi_dirac_mhalf , 2.91362e-14 , 2.64095e-14
gsl_sf_gamma , 7.77224e-16 , 2.21388e-16
gsl_sf_gamma_inc , 7.06261e-1 , 2.34946e-16
gsl_sf_gamma_inc_P , 7.26228e-14 , 9.88087e-15
gsl_sf_gamma_inc_Q , 7.06261e-1 , 4.12445e-17
gsl_sf_gammainv , 5.76015e-16 , 1.87762e-16
gsl_sf_gammastar , 1.05303e-13 , 4.84436e-14
gsl_sf_gegenpoly_1 , 1e0 , 1e0
gsl_sf_gegenpoly_2 , 6.11678e-16 , 2.40601e-16
gsl_sf_gegenpoly_3 , 1e0 , 1e0
gsl_sf_gegenpoly_n # , 1e0 , 3.59321e-16
gsl_sf_hazard , 1.10569e-13 , 6.91707e-17
gsl_sf_hydrogenicR_1 , 4.69872e-14 , 2.20719e-15
gsl_sf_hydrogenicR # , ,
gsl_sf_hyperg_0F1 , 7.21337e-9 , 5.22557e-14
gsl_sf_hyperg_1F1 , 8.59259e16 , 9.01896e-1
gsl_sf_hyperg_1F1_int # , 1e0 , 6.6914e-10
gsl_sf_hyperg_2F0 , 5.39569e-14 , 3.55271e-15
gsl_sf_hyperg_2F1 , 1.89012e1 , 1.55615e-19
gsl_sf_hyperg_2F1_conj , 8.68067e13 , 2.48922e-16
gsl_sf_hyperg_2F1_conj_renorm , 1.72726e13 , 1.02777e-14
gsl_sf_hyperg_2F1_renorm , 1.45399e1 , 7.10874e-14
gsl_sf_hyperg_U , 3.86713e-6 , 2.40295e-14
gsl_sf_hyperg_U_int # , 3.57786e-6 , 1.91653e-15
gsl_sf_hypot , 8.9974e-17 , 7.88871e-17
gsl_sf_hzeta , 0e-65536 , 0e-65536
gsl_sf_laguerre_1 , 1.17089e-16 , 8.37965e-17
gsl_sf_laguerre_2 , 2.49872e-16 , 1.93293e-16
gsl_sf_laguerre_3 , 2.81424e-15 , 1.75767e-16
gsl_sf_laguerre_n # , 3.80224e-6 , 9.52801e-15
gsl_sf_lambert_W0 , 1e0 , 1e0
gsl_sf_lambert_Wm1 , 1e0 , 1e0
gsl_sf_legendre_H3d_0 , 6.12307e3 , 6.81408e0
gsl_sf_legendre_H3d_1 , 4.90846e2 , 1e0
gsl_sf_legendre_H3d # , 1e0 , 3.1905e-14
gsl_sf_legendre_P1 , 0e-65536 , 0e-65536
gsl_sf_legendre_P2 , 2.50523e-16 , 1.62996e-16
gsl_sf_legendre_P3 , 5.90579e-16 , 2.7871e-15
gsl_sf_legendre_Pl # , 2.72523e-5 , 3.19386e-9
gsl_sf_legendre_Plm # , 3.61783e-14 , 0e-65536
gsl_sf_legendre_Q0 , 1.76128e-16 , 9.95607e-17
gsl_sf_legendre_Q1 , 1.93677e-15 , 1.81475e-16
gsl_sf_legendre_Ql # , 2.46038e0 , 2.0907e0
gsl_sf_legendre_sphPlm # , ,
gsl_sf_lnbeta , 6.56401e-2 , 3.10181e-15
gsl_sf_lncosh , 1e0 , 1e0
gsl_sf_lngamma , 3.82192e-16 , 1.41099e-16
gsl_sf_lnpoch , 1e0 , 1e0
gsl_sf_lnsinh , 1.04825e-16 , 1.03728e-16
gsl_sf_log_1plusx , 2.19623e-16 , 1.05968e-16
gsl_sf_log_1plusx_mx , 1e0 , 1e0
gsl_sf_log_abs , 1.04221e-16 , 1.03728e-16
gsl_sf_log , 1.03872e-16 , 1.03728e-16
gsl_sf_log_erfc , 4.94755e-16 , 1.0197e-15
gsl_sf_multiply , 1.06762e-16 , 1.01931e-16
gsl_sf_poch , 3.81412e-6 , 1.97695e-13
gsl_sf_pochrel , 2.17754e-8 , 7.57632e-13
gsl_sf_pow_int # , 1e0 , 1e0
gsl_sf_psi_1 , 2.92821e-2 , 5.42511e-14
gsl_sf_psi_1_int # , 2.697e-16 , 1.96924e-16
gsl_sf_psi_1piy , 3.98867e-16 , 9.31942e-17
gsl_sf_psi , 3.56526e-2 , 1.8412e-16
gsl_sf_psi_int # , 2.44234e-16 , 1.90769e-16
gsl_sf_psi_n # , 1.39519e1 , 0e-65536
gsl_sf_Shi , 2.77866e-16 , 1.15488e-16
gsl_sf_Si , 1.5659e-16 , 6.67239e-17
gsl_sf_sin , 2.84716e11 , 2.89248e3
gsl_sf_sinc , 1.72658e5 , 1.75226e1
gsl_sf_synchrotron_1 , 3.1484e-13 , 2.15591e-16
gsl_sf_synchrotron_2 , 2.72794e-13 , 1.29275e-16
gsl_sf_taylorcoeff # , 1.09733e-15 , 0e-65536
gsl_sf_transport_2 , 1.56028e-16 , 0e-65536
gsl_sf_transport_3 , 2.13103e-16 , 7.6804e-17
gsl_sf_transport_4 , 4.08069e-16 , 9.05375e-17
gsl_sf_transport_5 , 7.30571e-16 , 1.19766e-16
gsl_sf_zeta , 1.62501e-15 , 1.01159e-15
gsl_sf_zeta_int # , 1.09179e-16 , 0e-65536
gsl_sf_zetam1 , 6.33791e-15 , 4.1121e-16
gsl_sf_zetam1_int # , 6.62821e-17 , 0e-65536
